kind;n;m;sum_n;AgeLatency;IterationCount;ExpansionVertex;ExpansionEdges;LowerBounds;UpperBounds;gen_time;sp_time
2;250;20750;598;1103;4;"[252,445,468,473]";"[20752,39820,41452,41706]";"[905,1103,1103,1103]";"[1184,1117,1105,1103]";138.00;200.00
2;250;20750;1693;7435;4;"[252,1079,1229,1252]";"[20753,98071,109361,110743]";"[5395,7435,7435,7435]";"[8177,7563,7451,7435]";402.00;578.00
2;250;20750;17903;62882;7;"[252,11388,12433,12938,13676,13704,14085]";"[20753,1071245,1144999,1173828,1232737,1233702,1269815]";"[33868,62882,62882,62882,62882,62882,62882]";"[68291,64820,63854,63539,63182,62993,62882]";15977.00;15153.00
2;250;20750;10696;10238;5;"[252,5970,7272,7657,7784]";"[20753,544679,665069,681222,683397]";"[5581,10238,10238,10238,10238]";"[11760,10785,10496,10273,10238]";4867.00;5188.00
2;250;20750;1342;8461;4;"[252,982,1072,1114]";"[20752,95824,102326,104814]";"[5948,8461,8461,8461]";"[9425,8745,8525,8461]";390.00;555.00
2;250;20750;2783;9375;8;"[252,1718,2015,2127,2149,2194,2234,2245]";"[20752,175050,194257,199989,201106,203299,205363,205887]";"[4947,9375,9375,9375,9375,9375,9375,9375]";"[10790,9975,9555,9415,9400,9395,9385,9375]";2205.00;2660.00
2;250;20750;31713;74998;6;"[252,14056,17862,19116,20612,20761]";"[20754,1410237,1728536,1830532,1952925,1965656]";"[43201,74998,74998,74998,74998,74998]";"[83126,80016,77120,76198,75070,74998]";21543.00;19124.00
2;250;20750;2585;15805;5;"[252,1718,1949,2030,2033]";"[20754,178759,196832,204672,204816]";"[7416,15805,15805,15805,15805]";"[17541,16317,15953,15841,15805]";1117.00;1473.00
2;250;20750;2242;17365;8;"[252,1370,1640,1742,1804,1808,1811,1818]";"[20754,126619,150536,155988,157590,157724,157806,158040]";"[7365,17365,17365,17365,17365,17365,17365,17365]";"[19741,18085,17695,17445,17405,17405,17385,17365]";1532.00;2012.00
2;250;20750;1148;6072;5;"[252,664,725,755,756]";"[20753,62887,67556,70408,70465]";"[2856,6072,6072,6072,6072]";"[6744,6222,6105,6096,6072]";323.00;475.00
